code,nom
56105,Sainte-Brigide-d'Iberville
22045,Sainte-Brigitte-de-Laval
49085,Sainte-Brigitte-des-Saults
62020,Sainte-Béatrix
67030,Sainte-Catherine
45060,Sainte-Catherine-de-Hatley
22005,Sainte-Catherine-de-la-Jacques-Cartier
48020,Sainte-Christine
34105,Sainte-Christine-d'Auvergne
19055,Sainte-Claire
68020,Sainte-Clotilde
31060,Sainte-Clotilde-de-Beauce
39117,Sainte-Clotilde-de-Horton
33102,Sainte-Croix
38060,Sainte-Cécile-de-Lévrard
47055,Sainte-Cécile-de-Milton
30050,Sainte-Cécile-de-Whitton
44055,Sainte-Edwidge-de-Clifton
50005,Sainte-Eulalie
18035,Sainte-Euphémie-sur-Rivière-du-Sud
20010,Sainte-Famille-de-l'Île-d'Orléans
11030,Sainte-Françoise
38035,Sainte-Françoise
17025,Sainte-Félicité
37215,Sainte-Geneviève-de-Batiscan
52040,Sainte-Geneviève-de-Berthier
87030,Sainte-Germaine-Boulé
88085,Sainte-Gertrude-Manneville
91030,Sainte-Hedwidge
54095,Sainte-Hélène-de-Bagot
39035,Sainte-Hélène-de-Chester
14025,Sainte-Hélène-de-Kamouraska
87070,Sainte-Hélène-de-Mancebourg
26040,Sainte-Hénédine
92015,Sainte-Jeanne-d'Arc
59010,Sainte-Julie
63060,Sainte-Julienne
28045,Sainte-Justine
71115,Sainte-Justine-de-Newton
17060,Sainte-Louise
18020,Sainte-Lucie-de-Beauregard
78020,Sainte-Lucie-des-Laurentides
54025,Sainte-Madeleine
62030,Sainte-Marcelline-de-Kildare
26035,Sainte-Marguerite
77012,Sainte-Marguerite-du-Lac-Masson
26030,Sainte-Marie
54030,Sainte-Marie-Madeleine
63005,Sainte-Marie-Salomé
38015,Sainte-Marie-de-Blandford
71110,Sainte-Marthe
72015,Sainte-Marthe-sur-le-Lac
70012,Sainte-Martine
50057,Sainte-Monique
93075,Sainte-Monique
61050,Sainte-Mélanie
17030,Sainte-Perpétue
50050,Sainte-Perpétue
31050,Sainte-Praxède
20030,Sainte-Pétronille
11015,Sainte-Rita
28030,Sainte-Rose-de-Watford
94230,Sainte-Rose-du-Nord
28065,Sainte-Sabine
46105,Sainte-Sabine
75028,Sainte-Sophie
32023,Sainte-Sophie-d'Halifax
38040,Sainte-Sophie-de-Lévrard
39105,Sainte-Séraphine
35050,Sainte-Thècle
73010,Sainte-Thérèse
83055,Sainte-Thérèse-de-la-Gatineau
51040,Sainte-Ursule
53025,Sainte-Victoire-de-Sorel
52030,Sainte-Élisabeth
39090,Sainte-Élizabeth-de-Warwick
62070,Sainte-Émélie-de-l'Énergie
26010,Saints-Anges
39005,Saints-Martyrs-Canadiens
70052,Salaberry-de-Valleyfield
97040,Schefferville
41080,Scotstown
26048,Scott
89040,Senneterre
89045,Senneterre
66127,Senneville
97007,Sept-Îles
22020,Shannon
36033,Shawinigan
84010,Shawville
84095,Sheenboro
47035,Shefford
43027,Sherbrooke
53052,Sorel-Tracy
46045,Stanbridge East
46030,Stanbridge Station
45008,Stanstead
45025,Stanstead
44050,Stanstead-Est
42005,Stoke
22035,Stoneham-et-Tewkesbury
30105,Stornoway
30110,Stratford
45105,Stukely-Sud
46058,Sutton
95005,Tadoussac
87042,Taschereau
71075,Terrasse-Vaudreuil
64008,Terrebonne
31084,Thetford Mines
84045,Thorne
80050,Thurso
39025,Tingwick
17035,Tourville
27060,Tring-Jonction
11040,Trois-Pistoles
35055,Trois-Rives
37067,Trois-Rivières
71125,Très-Saint-Rédempteur
69030,Très-Saint-Sacrement
88075,Trécesson
85005,Témiscaming
13073,Témiscouata-sur-le-Lac
42078,Ulverton
48038,Upton
33070,Val-Alain
78010,Val-David
42095,Val-Joli
78005,Val-Morin
30015,Val-Racine
87105,Val-Saint-Gilles
89008,Val-d'Or
80140,Val-des-Bois
78100,Val-des-Lacs
82015,Val-des-Monts
40043,Val-des-Sources
42055,Valcourt
42060,Valcourt
26015,Vallée-Jonction
59020,Varennes
71083,Vaudreuil-Dorion
71090,Vaudreuil-sur-le-Lac
56005,Venise-en-Québec
59025,Verchères
39062,Victoriaville
85025,Ville-Marie
32085,Villeroy
84070,Waltham
47030,Warden
39077,Warwick
47025,Waterloo
44080,Waterville
41098,Weedon
76035,Wentworth
77060,Wentworth-Nord
41065,Westbury
66032,Westmount
49040,Wickham
42088,Windsor
40017,Wotton
51020,Yamachiche
53072,Yamaska
